Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Developer,Rating
16.0,2007.0,6.0,70.0,0.03,0.03,0.0,0.01,0.07,61.8,16.2,40.4,946.0,1.6
16.0,2005.0,10.0,139.0,0.78,2.55,0.04,0.84,4.21,80.0,32.0,47.0,431.0,1.0
17.0,2010.0,8.0,139.0,0.44,0.27,0.01,0.12,0.85,74.0,56.0,88.0,442.0,5.0
29.0,2002.0,1.0,53.0,0.06,0.02,0.0,0.0,0.08,64.0,20.0,23.2,1635.0,7.0
19.0,2009.0,1.0,565.0,0.0,0.0,0.01,0.0,0.01,53.0,12.8,116.8,907.8,3.6
19.0,2011.0,1.0,233.0,0.0,0.0,0.03,0.0,0.03,68.2,26.6,28.4,900.6,6.2
16.0,2005.0,3.0,458.0,0.0,1.18,0.0,0.43,1.61,80.6,40.0,66.2,1308.6,3.8
17.0,2015.0,0.0,266.0,0.0,0.0,0.01,0.0,0.01,58.0,15.4,57.8,683.0,4.8
20.0,2015.0,0.0,503.0,0.0,0.0,0.02,0.0,0.02,70.0,15.0,9.0,1054.0,7.0
16.0,2008.0,8.0,448.0,0.0,0.0,0.02,0.0,0.02,69.6,30.2,100.0,1035.4,4.4
28.0,2011.0,10.0,139.0,2.42,0.11,0.0,0.16,2.69,78.0,55.0,94.0,453.0,1.0
26.0,2008.0,10.0,421.0,0.17,0.18,0.0,0.04,0.4,53.2,24.0,92.0,23.0,1.0
18.0,2014.0,0.0,21.0,0.19,0.18,0.0,0.07,0.44,78.0,46.0,32.0,1507.0,2.0
4.0,2010.0,0.0,127.0,0.11,0.04,0.0,0.01,0.17,58.0,5.0,24.0,1689.0,2.0
16.0,2009.0,3.0,21.0,0.05,0.04,0.0,0.01,0.1,75.0,43.2,36.6,1004.0,7.0
16.0,2004.0,0.0,53.0,0.1,0.08,0.0,0.03,0.2,71.0,40.0,18.0,1384.0,7.0
6.0,2002.0,0.0,361.0,1.75,0.52,0.33,0.1,2.7,95.0,30.0,314.0,268.0,1.0
18.0,2016.0,10.0,139.0,0.29,0.49,0.0,0.15,0.93,79.0,38.0,157.0,449.0,7.0
16.0,2003.0,4.0,202.0,0.05,0.04,0.0,0.01,0.1,70.8,26.0,84.2,414.0,1.0
15.0,2002.0,10.0,277.0,0.0,0.0,0.12,0.01,0.13,54.0,14.6,11.0,815.0,4.6
28.0,2014.0,0.0,127.0,0.64,0.34,0.0,0.1,1.08,66.8,30.2,45.8,281.2,1.6
20.0,2015.0,10.0,69.0,0.0,0.03,0.0,0.01,0.03,40.4,24.0,40.0,640.0,1.0
16.0,2005.0,0.0,528.0,0.71,1.02,0.0,0.31,2.04,82.0,41.0,68.0,1546.0,7.0
26.0,2009.0,9.0,528.0,0.12,0.06,0.0,0.02,0.19,81.0,24.0,15.0,798.0,2.0
26.0,2007.0,5.0,110.0,0.26,0.0,0.0,0.02,0.29,71.0,17.0,5.0,1593.0,2.0
4.0,2010.0,3.0,277.0,0.0,0.0,0.09,0.0,0.09,68.4,21.6,29.6,893.8,2.6
19.0,2010.0,1.0,110.0,0.0,0.0,0.03,0.0,0.03,63.8,16.0,18.0,954.0,3.0
19.0,2006.0,3.0,6.0,0.13,0.0,0.0,0.01,0.14,61.4,13.6,48.2,1074.2,2.4
16.0,2007.0,0.0,138.0,0.41,0.02,0.0,0.07,0.5,77.0,30.6,29.0,344.0,7.0
16.0,2001.0,8.0,491.0,0.76,0.96,0.0,0.2,1.92,88.0,25.0,69.0,1615.0,5.0
19.0,2006.0,11.0,548.0,0.15,0.0,0.0,0.01,0.16,58.0,12.0,15.0,1167.0,5.0
30.0,2013.0,0.0,325.0,1.06,0.35,0.01,0.15,1.57,78.0,69.0,908.0,269.0,5.0
4.0,2009.0,3.0,528.0,0.12,0.0,0.0,0.01,0.13,45.6,15.4,12.2,867.0,1.0
26.0,2009.0,0.0,380.0,0.05,0.0,0.0,0.0,0.05,53.0,10.0,43.6,589.0,1.0
4.0,2011.0,5.0,177.0,0.0,0.06,0.0,0.01,0.07,62.2,6.6,15.8,565.0,1.2
19.0,2010.0,2.0,491.0,0.22,0.31,0.0,0.17,0.7,74.0,12.0,7.0,1652.0,7.0
7.0,2003.0,9.0,139.0,0.35,0.13,0.0,0.01,0.49,85.0,16.0,22.0,465.0,7.0
15.0,1997.0,0.0,415.0,0.13,0.09,0.0,0.02,0.24,73.4,12.6,54.0,988.4,4.8
4.0,2007.0,3.0,503.0,0.0,0.0,0.02,0.0,0.02,66.6,18.0,15.8,1026.2,1.2
15.0,1997.0,10.0,458.0,0.28,0.19,0.0,0.03,0.51,81.4,16.6,80.6,906.8,3.6
17.0,2016.0,0.0,552.0,0.1,0.12,0.0,0.04,0.27,70.6,5.0,8.0,1432.0,2.0
0.0,1980.0,0.0,21.0,0.32,0.02,0.0,0.0,0.34,70.4,23.6,403.2,1094.2,4.2
16.0,2008.0,1.0,7.0,0.0,0.0,0.01,0.0,0.01,49.6,24.8,59.6,765.2,5.2
23.0,1996.0,4.0,361.0,0.26,0.07,1.09,0.02,1.44,65.8,32.0,68.0,905.4,4.4
19.0,2005.0,0.0,432.0,0.01,0.0,0.0,0.0,0.01,57.4,20.2,82.2,937.0,3.6
3.0,2001.0,1.0,448.0,0.0,0.0,0.33,0.0,0.33,83.6,15.6,138.0,1113.6,4.6
13.0,2009.0,8.0,463.0,0.02,0.01,0.0,0.0,0.03,72.0,31.0,78.0,1491.0,7.0
7.0,2005.0,4.0,349.0,0.07,0.02,0.0,0.0,0.09,66.0,17.0,10.0,214.0,1.0
19.0,2008.0,7.0,458.0,0.0,0.0,0.02,0.0,0.02,76.4,43.8,42.2,915.8,4.6
16.0,2003.0,6.0,17.0,0.41,0.32,0.0,0.11,0.84,68.0,19.0,10.2,42.0,1.0
6.0,2003.0,3.0,361.0,0.68,0.38,0.44,0.05,1.56,71.2,36.4,38.6,814.6,1.0
29.0,2004.0,2.0,327.0,0.61,0.12,0.0,0.03,0.76,81.0,53.0,24.0,938.0,5.0
19.0,2011.0,1.0,233.0,0.0,0.0,0.04,0.0,0.04,68.2,26.6,28.4,900.6,6.2
19.0,2008.0,0.0,458.0,1.48,1.0,0.04,0.66,3.18,91.0,79.0,565.0,1184.0,5.0
6.0,2004.0,0.0,21.0,0.49,0.18,0.0,0.01,0.68,63.0,8.0,4.0,1591.0,1.0
23.0,1995.0,11.0,35.0,0.0,0.0,0.03,0.0,0.03,64.2,29.4,108.0,1014.2,3.4
4.0,2007.0,5.0,432.0,0.13,0.0,0.01,0.01,0.16,62.2,14.4,16.6,697.4,2.4
17.0,2008.0,4.0,548.0,0.19,0.18,0.0,0.07,0.44,59.0,22.0,36.0,500.0,2.0
16.0,2009.0,10.0,503.0,0.0,0.0,0.03,0.0,0.03,65.8,20.8,12.8,1117.2,3.6
28.0,2007.0,0.0,491.0,0.16,0.02,0.0,0.01,0.19,69.0,49.0,67.0,1016.0,5.0
